misconception,detected,tp,estimated_fn,precision,relative_recall
DeferredReturn,14,14,16.15,1.0,0.487
CannotChainMemberAccesses,128,121,98.88,0.945,0.5503
ComparisonWithBoolLiteral,13,13,0.0,1.0,1.0
DelSelf,0,0,0.0,1.0,1.0
IfIsLoop,3659,3622,344.52.04,0.99,0.914
InitCreates,18,10,0.0,0.555,1.0
InitShouldReturn,28,23,0.0,0.821,1.0
ManualForLoopAugment,44,43,1.98,0.977,1.0
MapToBooleanWithIf,502,502,333.97,1.0,0.714
MapToBooleanWithTO,4,4,0.0,1.0,1.0
MultipleValuesReturn,1,1,0.0,1.0,1.0
NoEmptyInit,21,4,1.0,0.19,1.0
ReturnCall,482,482,1.0,1.0,0.998
SelfAssignable,1,1,0.0,1.0,1.0
UnusedForLoopVariable,965,965,990.99,1.0,0.721
UselessForLoopRange,348,306,304.56,0.879,0.501
WastedReturnValue,57,53,13.14.33,0.93,0.791